,WALK,WALK_UP,WALK_DOWN,SIT,STAND,LAY,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LAY,LAY_TO_SIT,STAND_TO_LAY,LAY_TO_STAND
WALK,0.9998706217214368,1.176166168756322e-05,1.176166168756322e-05,1.176166168756322e-05,1.176166168756322e-05,1.176166168756322e-05,1.176166168756322e-05,1.176166168756322e-05,1.176166168756322e-05,1.176166168756322e-05,1.176166168756322e-05,1.176166168756322e-05
WALK_UP,1.2482836100362002e-05,0.999862688802896,1.2482836100362002e-05,1.2482836100362002e-05,1.2482836100362002e-05,1.2482836100362002e-05,1.2482836100362002e-05,1.2482836100362002e-05,1.2482836100362002e-05,1.2482836100362002e-05,1.2482836100362002e-05,1.2482836100362002e-05
WALK_DOWN,1.362323579096507e-05,1.362323579096507e-05,0.9998501444062994,1.362323579096507e-05,1.362323579096507e-05,1.362323579096507e-05,1.362323579096507e-05,1.362323579096507e-05,1.362323579096507e-05,1.362323579096507e-05,1.362323579096507e-05,1.362323579096507e-05
SIT,1.1931750387781888e-05,1.1931750387781888e-05,1.1931750387781888e-05,0.9988664837131607,1.1931750387781888e-05,1.1931750387781888e-05,1.1931750387781888e-05,0.0005130652666746211,0.0005130652666746211,1.1931750387781888e-05,1.1931750387781888e-05,1.1931750387781888e-05
STAND,1.0752225710722119e-05,1.0752225710722119e-05,1.0752225710722119e-05,1.0752225710722119e-05,0.9990215474603242,1.0752225710722119e-05,0.00045159347985032904,1.0752225710722119e-05,1.0752225710722119e-05,1.0752225710722119e-05,0.00043008902842888477,1.0752225710722119e-05
LAY,1.1000737049382308e-05,1.1000737049382308e-05,1.1000737049382308e-05,1.1000737049382308e-05,1.1000737049382308e-05,0.9989549299803087,1.1000737049382308e-05,1.1000737049382308e-05,1.1000737049382308e-05,0.0004840324301728216,1.1000737049382308e-05,0.00046203095607405694
STAND_TO_SIT,0.00013886960144424384,0.00013886960144424384,0.00013886960144424384,0.005693653659213998,0.00013886960144424384,0.00013886960144424384,0.9929176503263436,0.00013886960144424384,0.00013886960144424384,0.00013886960144424384,0.00013886960144424384,0.00013886960144424384
SIT_TO_STAND,0.0001793400286944046,0.0001793400286944046,0.0001793400286944046,0.0001793400286944046,0.007173601147776184,0.0001793400286944046,0.0001793400286944046,0.9910329985652798,0.0001793400286944046,0.0001793400286944046,0.0001793400286944046,0.0001793400286944046
SIT_TO_LAY,0.00011610356437942645,0.00011610356437942645,0.00011610356437942645,0.00011610356437942645,0.00011610356437942645,0.004876349703935911,0.00011610356437942645,0.00011610356437942645,0.9939626146522699,0.00011610356437942645,0.00011610356437942645,0.00011610356437942645
LAY_TO_SIT,0.00012537612838515547,0.00012537612838515547,0.00012537612838515547,0.005391173520561685,0.00012537612838515547,0.00012537612838515547,0.00012537612838515547,0.00012537612838515547,0.00012537612838515547,0.9933550651955868,0.00012537612838515547,0.00012537612838515547
STAND_TO_LAY,9.186954524575104e-05,9.186954524575104e-05,9.186954524575104e-05,9.186954524575104e-05,9.186954524575104e-05,0.003950390445567295,9.186954524575104e-05,9.186954524575104e-05,9.186954524575104e-05,9.186954524575104e-05,0.9951309141019752,9.186954524575104e-05
LAY_TO_STAND,0.00013274923669188903,0.00013274923669188903,0.00013274923669188903,0.00013274923669188903,0.00013274923669188903,0.00013274923669188903,0.00013274923669188903,0.00013274923669188903,0.00013274923669188903,0.00013274923669188903,0.00013274923669188903,0.9985397583963892
